region,metro_area,year,employment_rate,employment_rate_15_64,labor_force,labor_force_participation_rate,not_in_labor_force,population_15plus,unemployment_rate,male_labor_force_participation_rate,male_unemployment_rate,male_employment_rate,male_employment_rate_15_64,female_labor_force_participation_rate,female_unemployment_rate,female_employment_rate,female_employment_rate_15_64,gender_employment_rate_gap,gender_labor_force_participation_gap,youth_employed_share,senior_employed_share,core_30_49_employed_share,working_age_employed_share,wage_worker_share,regular_worker_share,temporary_worker_share,daily_worker_share,self_employed_share,short_hours_worker_share,long_hours_worker_share,average_weekly_hours,college_employed_share,quarter_count,is_complete_year,employment_rate_score,employment_rate_15_64_score,labor_force_participation_rate_score,unemployment_rate_score,female_employment_rate_score,female_labor_force_participation_rate_score,gender_employment_rate_gap_score,wage_worker_share_score,regular_worker_share_score,temporary_worker_share_score,daily_worker_share_score,self_employed_share_score,youth_employed_share_score,senior_employed_share_score,short_hours_worker_share_score,long_hours_worker_share_score,college_employed_share_score,labor_market_access_score,female_employment_score,stable_wage_job_score,youth_retention_score,working_time_quality_score,education_job_score,employment_inclusion_score
인천,수도권,2016,61.775,67.2,1598.0,64.95,863.0,2461.0,4.875,76.725,5.175,72.75,77.675,53.5,4.425000000000001,51.125,56.55,21.625,23.224999999999998,15.585419653936954,11.652758240320718,48.92028742807956,94.77559943177758,81.5491769912718,50.397188718554055,25.494199188108805,5.657885770226001,16.674008681448846,15.362134238047975,21.221846783826514,43.525,38.34159264633894,4,True,40.19607843137255,34.99079189686924,48.3304042179262,0.0,32.42630385487529,37.21719457013575,35.640138408304495,87.40731794019392,39.80697930535332,0.0,37.29807632304713,83.62893289112785,74.41415186841624,95.9179854712386,96.34635241943253,21.944137062436937,20.776156566321546,30.879318636541996,35.09454561110518,49.62826129194444,85.16606866982741,59.145244740934736,20.776156566321546,46.78159925277922
전남,비수도권,2016,62.7,67.525,994.25,64.6,544.75,1538.75,3.025,74.275,3.85,71.425,75.0,55.275,1.9,54.225,59.375,17.2,19.0,10.394834559579305,26.38346008600735,39.131100270951585,81.57429739826846,59.646230055367255,35.901559980695765,18.589855791230082,5.154814283441413,30.88155825632275,22.694893455783934,13.06572429475169,39.55,29.37794120973846,4,True,46.2418300653595,37.38489871086558,45.86994727592263,59.2,46.48526077097507,45.24886877828054,56.055363321799305,0.0,0.0,42.16416112107867,44.34844935428617,1.690547840316654,16.334029701487935,37.30640979907485,59.40785177630627,67.52040042019871,0.0,47.17416901303693,49.26316429035163,17.640631663136297,26.820219750281392,63.46412609825249,0.0,34.06038513584312
전북,비수도권,2016,59.925,65.475,960.0,61.2,608.75,1568.75,2.075,71.825,2.375,70.125,73.775,51.0,1.65,50.2,56.8,19.924999999999997,20.825,11.775814868489753,21.2075160465476,42.955452186100786,86.28677770231901,63.79801974573337,41.010972870554504,16.844190679774197,5.997359679352856,28.929623421114442,19.12553525749655,17.88491079132415,41.5,39.87471471295011,4,True,28.104575163398682,22.28360957642719,21.96836555360282,89.6,28.23129251700683,25.904977375565615,43.48327566320647,16.56840070647157,14.031146688926787,52.824770072850455,32.540466805133576,12.947829560750819,31.786527559355566,57.90082810457544,77.38836036631764,40.5908743822848,24.329662000628836,40.48913757335717,32.53984851859297,25.782522766826638,44.8436778319655,58.98961737430122,24.329662000628836,37.829077677612055
제주,비수도권,2016,69.225,73.775,362.75,70.775,149.5,512.5,2.15,77.925,2.55,75.925,79.6,63.800000000000004,1.7,62.75,67.675,13.175000000000002,14.124999999999998,13.727693390648017,18.227113167530042,46.07372053506816,88.74199772608799,65.27016298840798,38.57142491260278,18.520742843516143,8.319248314718603,28.036980285529033,21.41520471687653,25.148870559192726,42.275,43.87740346600114,4,True,88.88888888888887,83.42541436464089,89.27943760984188,87.2,85.14739229024941,83.82352941176472,74.62514417531716,22.443230830587613,7.33181430171022,42.58622724604584,0.0,18.095919072675656,53.62709870136181,69.7594693768664,65.85423599560531,0.0,33.60718565355456,87.1984352158429,81.19868862577711,18.091438290203865,61.693284039114104,32.927117997802654,33.60718565355456,52.45269163704919
충남,비수도권,2016,61.7,67.5,1266.25,63.725,720.5,1986.75,3.175,76.425,3.05,74.1,78.825,50.875,3.45,49.15,55.125,24.949999999999996,25.549999999999997,14.952817724261786,17.0810843667056,45.65023181324493,89.57791821222466,69.63530852503764,49.739755276028994,14.475296670866708,5.39842251700658,24.058769182742665,16.166184795989015,22.267392227008674,43.65,36.283462602651454,4,True,39.7058823529412,37.200736648250434,39.71880492091389,54.400000000000006,23.469387755102048,25.33936651583711,20.29988465974627,39.86306318885154,38.00157714484594,67.2913779642667,40.93436414923246,41.03922758873373,67.33564401416533,74.3193711714757,92.29597776922259,16.1016482407195,16.005775620125544,42.756355980526386,23.036212976895143,45.425922007186074,70.82750759282051,54.19881300497104,16.005775620125544,42.041764530420785
충북,비수도권,2016,62.0,68.2,867.5,63.65,495.25,1362.75,2.625,72.67500000000001,2.45,70.875,75.7,54.75,2.85,53.15,60.3,17.725,17.925000000000004,14.94635401994223,16.26816267992656,44.408892295078815,91.11965295015276,70.32497510344513,48.24185881312518,16.85009219416263,5.234724924134861,23.150983533143886,17.367672023338613,21.075517652204834,42.7,38.11090547020265,4,True,41.66666666666667,42.35727440147329,39.1915641476274,72.0,41.609977324263035,42.873303167420815,53.633217993079576,42.615291282541115,33.88814856726056,52.78873009204,43.228529341217794,46.27464765244205,67.26331830719661,77.55388242961675,86.2435307431679,22.76182157473255,20.241464546763527,48.80387630394184,46.03883282825447,43.7590693871003,72.40860036840668,54.50267615895022,20.241464546763527,47.62575326556951
강원,비수도권,2017,60.975,67.1,811.25,62.625,483.75,1295.0,2.65,70.725,2.375,69.05000000000001,73.97500000000001,54.9,3.0,53.275,60.025,15.775000000000004,15.825000000000003,13.36761620522985,21.46699816593774,39.992839292121566,87.35857590683496,66.61898650761914,44.24568684518843,17.525214323998348,4.878610368957399,26.19469190591429,19.76675983177143,23.701608756710282,42.45,36.29413927402308,4,True,34.967320261437926,34.25414364640877,31.985940246045686,71.2,42.176870748299315,43.55203619909502,62.629757785467106,27.82593328308902,22.914113725099284,48.66582417289529,48.21935176270389,28.72084308423574,49.598010161546846,56.868381990634035,74.1582155264392,8.087272493261807,16.030522253525223,43.1018510384731,49.452888244287145,35.26921320560465,53.23319607609044,41.1227440098505,16.030522253525223,39.7017358046385
경기,수도권,2017,62.125,67.85,6953.5,64.625,3806.5,10759.75,3.875,76.6,3.925,73.575,78.675,52.825,3.75,50.849999999999994,56.775,22.725,23.775,15.519843001120055,11.351260600297515,49.713376826751485,94.79938771051526,77.97811904552955,54.35681842740795,18.44476374869869,5.180225273081803,18.873476378744005,15.159334450788286,20.00008531086432,43.35,46.777316624061505,4,True,42.48366013071897,39.7790055248618,46.04569420035149,32.0,31.17913832199545,34.16289592760183,30.565167243367924,73.1564229277663,50.6806641056235,43.0502242710439,43.99232311623839,70.94406910529155,73.68038102415363,97.11760595967942,97.36794877213957,28.771317836963078,40.32867077897884,40.07708996398307,31.969067164321732,56.36474070519273,85.39899349191653,63.069633304551324,40.32867077897884,52.86803256815737
경남,비수도권,2017,60.85,66.425,1775.25,62.75,1054.75,2829.75,2.925,74.975,3.3,72.5,76.525,50.45,2.4,49.25,55.525,23.25,24.525,12.364785114278888,17.040848835796204,45.57967366017402,90.47313898371446,67.33928455314309,48.272023648535374,14.670388940284663,4.396871964323053,26.831075627565596,18.138525218684045,24.544048719477296,43.5,40.76794955264425,4,True,34.15032679738564,29.281767955801058,32.864674868189795,62.400000000000006,23.92290249433108,23.416289592760197,28.143021914648216,30.700401292396272,33.970985331407746,66.09996823732087,54.97074902008899,25.05066377921679,38.3768180962169,74.47946319487758,82.36038656694132,3.379733382905968,26.400022167045208,39.67419240534412,25.16073800057983,42.15855353208613,56.428140645547245,42.87005997492364,26.400022167045208,38.78195112092103
경북,비수도권,2017,62.45,67.85,1487.75,64.25,828.5,2316.0,2.775,75.775,2.7,73.775,77.625,52.9,2.925,51.325,57.325,22.450000000000003,22.875,12.02861846818842,22.91533851860227,40.82671579516033,85.54881953582313,64.43992008690574,44.27853481134332,15.466794148022094,4.728685946708754,27.827785753991876,18.159418127374785,21.63624367594145,42.9,34.45978550892923,4,True,44.607843137254925,39.7790055248618,43.40949033391915,67.2,33.33333333333336,34.502262443438916,31.83391003460207,19.130009761680448,23.004318733284656,61.23639822545156,50.32049072826516,19.302394685185902,34.61527685983396,51.10562125672492,82.25513931986916,19.62849480535128,11.778815090304134,48.74908474900897,33.22316860379144,34.59872242677354,42.86044905827944,50.94181706261022,11.778815090304134,37.025342831794624
광주,비수도권,2017,59.05,63.8,766.0,60.775,494.25,1259.75,2.85,70.5,3.2,68.275,72.5,51.575,2.425,50.325,55.25,17.95,18.924999999999997,14.554824506554999,13.138218240809739,48.98088276407528,92.57528968801519,75.59281845599008,50.85606441559226,19.225648345610644,5.477683234894142,20.909858241649374,16.53362920053185,18.021051820127198,42.849999999999994,50.689400378282414,4,True,22.385620915032664,9.944751381215426,18.980667838312808,64.8,28.79818594104311,28.506787330316758,52.59515570934256,63.63748798157258,41.06711473694193,38.281437136839536,39.82355257968231,59.199760889868045,62.882293517870316,90.00753041358439,90.4449903072738,39.83012080227964,49.396188090772235,29.027760033640224,36.63337632690081,48.401870664980876,76.44491196572736,65.13755555477672,49.396188090772235,50.84027710613304
대구,비수도권,2017,58.8,65.025,1290.75,61.275,816.75,2107.5,4.0,70.575,4.15,67.625,72.85,52.425,3.8,50.475,57.275,17.15,18.15,12.771385744391239,14.688835506256787,46.6114807168112,92.8777758486762,72.25545850497237,46.63308416423658,18.399573834586132,7.202458764896608,23.890650896200196,15.17025501820109,20.78073905268402,43.35,48.66877887100431,4,True,20.751633986928088,18.96869244935545,22.49560632688926,28.0,29.47845804988664,32.35294117647058,56.28604382929643,50.31920331544446,29.47023332443768,43.32619473053047,15.651419590405226,42.008806531548835,42.92648135012371,83.83782294517036,97.31293682173686,24.409038999677904,44.71274528920698,22.5539831907932,39.37248101855122,36.15517149847334,63.382152147647034,60.86098791070738,44.71274528920698,44.50625350922985
대전,비수도권,2017,58.9,63.975,791.0,61.0,505.5,1296.0,3.425,71.25,3.475,68.775,73.475,51.1,3.3,49.375,54.45,19.4,20.15,16.891910636674474,12.797163270316965,47.528623622978145,93.71642111322684,79.70678736517804,56.204022624440285,17.93857310460173,5.564191636136039,17.96962489464068,14.636839017389088,16.203360537974255,42.375,53.02843768818913,4,True,21.40522875816993,11.233885819521165,20.56239015817222,46.400000000000006,24.48979591836736,26.35746606334843,45.905420991926185,80.05495863032822,55.75333950134367,46.14148185323999,38.61116723264188,76.15679988218646,89.03315040287258,91.36454445275308,100.0,49.98734645570497,54.8176623313547,24.900376183965832,32.250894324547325,59.34354941994805,90.19884742781284,74.99367322785248,54.8176623313547,56.0841671525802
부산,비수도권,2017,56.325,63.375,1765.5,59.025000000000006,1226.25,2991.75,4.574999999999999,69.775,4.4,66.7,73.375,49.0,4.825,46.675,53.65,20.025,20.775,14.791694978313746,16.987804632174274,44.495241515664375,92.09251240651326,78.17329751886854,50.28383798601591,21.19799559858783,6.691568478452132,18.695632148865812,17.131784967873788,20.26644315445948,42.7,45.891767932458535,4,True,4.57516339869283,6.8139963167587245,6.678383128295278,9.600000000000023,12.24489795918368,16.85520361990951,43.02191464821223,73.93531477844492,39.495702689071884,26.236502147244053,22.811370396785264,71.96973992276986,65.53275886761304,74.69051928623867,87.43180297347888,27.28291507653867,38.27612574262007,6.916885710936714,24.040672075768473,46.8897259868632,70.11163907692585,57.357359025008776,38.27612574262007,40.59873460302052
서울,수도권,2017,60.225,66.35,5396.0,63.05,3160.5,8556.5,4.525,72.95,4.675,69.55,75.44999999999999,54.0,4.35,51.65,57.775,17.9,18.950000000000003,16.54401349776005,13.597833532684067,47.67934889398058,93.55281655251183,79.0828426302693,51.83506083661893,21.041085114865528,6.196982563453421,18.369538815956556,15.756200605573177,18.61964198819261,42.675000000000004,55.06631132364933,4,True,30.065359477124197,28.729281767955733,34.973637961335655,11.199999999999989,34.807256235827666,39.47963800904978,52.825836216839676,77.56500437983973,43.75557282155356,27.194739380960513,29.742821071966787,73.85039928162753,85.14035065826593,88.1787800429655,94.36125781342713,36.4852098866258,59.54109251069213,26.242069801603893,42.370910153905704,50.42170738718962,86.65956535061571,65.42323385002646,59.54109251069213,55.10976317567225
세종,비수도권,2017,61.2,64.775,132.25,62.675,78.75,211.25,2.3,75.15,2.2,73.475,76.475,50.275,2.45,49.05,52.7,24.424999999999997,24.875,13.90357268240579,11.75546691400437,56.58440984139048,93.27844992970324,80.90888883308365,63.172382676953134,14.243761487387854,3.6664107156144574,15.617008143609587,16.348713951191993,17.582884515327564,41.725,60.811924810175185,4,True,36.43790849673205,17.12707182320444,32.33743409490331,82.4,23.015873015873016,22.62443438914027,22.72202998846599,84.8521425667673,74.88940937585494,68.70534106259902,65.2079109812587,89.72491141381101,55.59510241697922,95.50932081541572,91.37649396828901,42.27859169087391,72.85840702363824,42.07560360370995,22.787445797826425,76.6759430800582,75.55221161619747,66.82754282958146,72.85840702363824,59.46285899183528
울산,비수도권,2017,59.75,63.925,604.75,61.925,371.75,976.5,3.525,75.9,3.825,72.975,76.35,47.4,3.0,45.95,50.475,27.025,28.5,14.525414654049321,11.394454637919427,48.888257838832494,94.68962443246882,80.16014556339672,57.5415757499003,17.048581774789305,5.569988038707115,16.197243408667322,16.492513397075246,20.738991067001127,43.075,41.7285863391319,4,True,26.960784313725494,10.865561694290932,27.065026362038637,43.2,8.956916099773277,9.615384615384615,10.726643598615922,81.86415920450004,59.426443341671764,51.576573312268316,38.52993265378208,86.37855387919146,62.5532115752011,96.94574241704692,90.65210963130001,24.642325980432332,28.62660810923629,27.022843092513767,9.766314771257939,63.55513247828274,79.749476996124,57.64721780586617,28.62660810923629,44.39459887554682
인천,수도권,2017,61.625,67.35,1607.5,64.675,877.75,2485.25,4.6499999999999995,76.375,5.3,72.35,77.25,53.25,3.775,51.25,57.3,21.099999999999998,23.125,15.594188648963282,12.441167726030404,47.625917989118804,94.54036113050114,80.87928159897398,51.4529379029194,23.31314041042534,6.1293323178873,16.951169698845252,14.690728566396139,20.45679880185446,43.25,40.309465604638156,4,True,39.21568627450981,36.095764272559784,46.39718804920911,7.200000000000017,32.99319727891157,36.085972850678736,38.06228373702423,84.73399002169073,42.70621097675472,13.319516198797771,30.690915884385177,82.0304780664715,74.51227265695006,92.78100512119127,99.72853340992842,26.2192111989998,25.337337573127932,32.227159649069684,35.71381795553818,50.69622222961998,83.64663888907066,62.97387230446411,25.337337573127932,48.432508100148425
전남,비수도권,2017,62.1,66.75,988.25,64.125,552.75,1541.0,3.15,73.25,3.35,70.825,74.0,55.25,2.95,53.65,58.9,17.174999999999997,18.0,10.011675150505095,27.824346248592146,38.15068994514865,80.84322676081484,60.065532139660625,36.65471213017281,17.584974366115652,5.851698797456956,31.043582597608946,21.293869700199927,12.55640034796442,39.775,31.992755834303264,4,True,42.32026143790851,31.675874769797396,42.53075571177504,55.2,43.87755102040816,45.13574660633485,56.170703575547876,1.673294041302623,2.0682588227245637,48.3008753429203,34.581853726084404,0.7561141581431343,12.046662307660021,31.573308332626965,66.46545660962764,70.36649332332583,6.060677215765216,42.931722979870244,48.3946670674303,17.476079218235004,21.809985320143493,68.41597496647674,6.060677215765216,34.1815177946535
전북,비수도권,2017,58.6,64.375,944.5,60.125,626.75,1571.0,2.525,70.775,2.65,68.875,72.875,49.9,2.275,48.75,55.5,20.125,20.875,11.434000532934256,21.87060357552796,42.43986435899556,86.2188860643937,65.42827708835485,42.05611365716557,17.542107911444944,5.828743765953371,27.33534913475097,19.914992928579935,18.116116352538878,41.275000000000006,41.80609819425152,4,True,19.444444444444457,14.180478821362774,14.41124780316343,75.2,21.655328798185955,20.927601809954748,42.56055363321799,23.07421119342768,16.901246249020392,48.56265665904693,34.90356055959735,22.14239613004021,27.961791425263243,55.26248776687588,73.41149683853385,39.298901933144094,28.80626686204495,30.809042767242666,28.38116141378623,29.116814158226514,41.61213959606956,56.35519938583897,28.80626686204495,35.846770697201485
제주,비수도권,2017,70.925,76.025,381.75,72.3,146.25,527.75,1.95,78.625,2.15,76.925,81.5,66.125,1.725,65.0,70.3,11.925,12.499999999999996,13.63173112404952,18.09799341177972,45.29192858661234,89.18153870433713,68.20122863498567,41.55493850421817,18.895162161076126,7.8853854268371055,26.786142766960495,20.245922929049488,20.049587454038438,41.25,45.55158726324446,4,True,100.0,100.0,100.0,93.6,95.35147392290247,94.34389140271493,80.39215686274508,34.14013114376074,15.524950725554751,40.29968448231534,6.080438435353017,25.309802486725246,52.553327620426316,70.27322034502869,71.7444493231037,28.494700765910096,37.48764719741816,98.4,90.02917406278749,24.271001454741818,61.4132739827275,50.119575044506895,37.48764719741816,60.28677862369698
충남,비수도권,2017,62.3,67.9,1173.75,64.1,656.75,1831.0,2.85,76.25,2.8,74.1,78.67500000000001,51.725,2.925,50.275,56.075,23.825000000000003,24.525,13.768500604354227,19.002454099643423,44.983717868813486,88.26414869290907,69.99661681001571,48.497682345085316,15.881730319731258,5.640722489507694,24.046092292602392,17.382812494491652,21.843705175625466,42.85,35.353196048101005,4,True,43.62745098039215,40.1473296500921,42.35500878734618,64.8,28.571428571428577,29.185520361990964,25.490196078431353,41.3049234203501,34.59067497896171,58.70242293001392,37.53861377087062,41.112338289497885,54.08371157144557,66.67448712752463,86.16726118530882,18.469203737952483,13.849582496993271,47.732447354457605,27.74904833728363,42.64979467793885,60.3790993494851,52.31823246163065,13.849582496993271,40.77970077963152
충북,비수도권,2017,62.575,69.075,880.25,63.974999999999994,495.25,1375.5,2.25,73.35000000000001,2.075,71.82499999999999,76.95,54.675,2.4250000000000003,53.35,60.725,18.474999999999994,18.675000000000004,15.068382221941402,16.771537610685915,43.87191175917784,90.91750739294112,70.1811442345192,48.862100119530254,15.950290579318752,5.368527807276909,23.45757287486826,16.28102653974553,20.45194050084639,42.825,39.634787397805454,4,True,45.42483660130722,48.802946593001835,41.476274165202064,84.0,42.5170068027211,42.5339366515837,50.17301038062286,42.04131050604502,35.59141603463915,58.283732018281896,41.35332817480651,44.50647254227994,68.62875452509559,75.55101806139174,91.7174667749781,26.246359296212873,23.773552975279113,54.92601433987778,45.074651278309226,44.355251855210504,72.08988629324367,58.98191303559549,23.773552975279113,49.86687829625263
강원,비수도권,2018,60.675,66.725,812.25,62.5,487.25,1300.0,2.9250000000000003,70.625,3.0,68.55,73.875,54.7,2.9,53.15,59.375,15.400000000000002,15.925000000000004,13.50176459596858,22.76622124245294,38.14789474092129,86.53053947344367,67.57574131437977,44.86487950873703,17.46927000163636,5.27303834488687,25.62953029488827,22.475189194406976,20.357749009534466,41.375,39.203592783647096,4,True,33.00653594771241,31.491712707182252,31.107205623901574,62.39999999999999,41.609977324263035,42.64705882352943,64.35986159169548,31.644020950929203,24.614501475754906,49.0074707692895,42.69157999008086,31.980267199290978,51.09906539539163,51.698939796914686,60.51460378591011,26.772699627644016,22.77412022427667,39.50136356969906,49.53896591316265,35.98756807706909,51.39900259615315,43.643651706777064,22.77412022427667,40.474112014522944
